username,points
@28__larrystylinson,20
@_.eagle._.eye._,20
@_.pratzz_,10
@____fineart__,20
@___unknown___c___,10
@__nexxusss__04,10
@__yatharth__24,10
@_atul.o9___,10
@_ganuu_21,20
@_psych_shutter,10
@_rapperpsycho_,10
@_souryadip,10
@_trish_777,20
@_vaani_fr,10
@aarti_28__,20
@abh.isheksharma467,10
@abhinav_x22,10
@aditya.singh.prvt_,10
@agger_skrtel,10
@ajinkyyaaaa,10
@akashkhedkar007,10
@akshayyyyyyyy_,20
@almostrajat,10
@amitb6108,20
@ananya_.jain,20
@aniee._.09,10
@aqu_xno,10
@arnav.botsonly,20
@ash_tkk,10
@ashupandey11111,20
@atharva.is.acoustic,10
@atjbw1111,10
@ayushkamble65,10
@ayyy_aadi,20
@az_ael8,20
@bangbangph0w,20
@being_beast__,20
@berserkeragainagainagain,20
@bgmi.momentdaily,10
@bhavennnn,20
@bhavesh.naik8_,10
@big__tjay__,20
@bitu_666,10
@brandon.saldanha,20
@brijj.03,20
@builtbymanthan,20
@chaotic.butterfly,20
@chillyapper,20
@chirag_vala_007,20
@chupkaryaaradarsh,20
@ctrldhruv,10
@cvaraj.lukram,10
@dangerhiphop__,10
@de_steeny,20
@debapriyorath06,20
@duhnurd,20
@enthusiastickilljoy,20
@fuzzy_panda_beats,20
@garfield__zzz,20
@goblinsomnia,10
@halation.in,10
@hanut01,10
@harshiitttt.s,20
@hiren_karwani,10
@hiteshchawla147,10
@ig.imyash,10
@ilikeeyou1o1,20
@ilostmyjamsagain,20
@ilovespeed_97,10
@indianedm__,20
@inkandcopy,10
@inspector.aryan,10
@ishaant.xx,20
@itsmetalboy,20
@iwatcheditfade,10
@jain_sonal27,10
@jamadarsalman,10
@jatinkiduniya,20
@joshesss._,20
@jugal_modsing_,20
@justliving2627,20
@kaalaunconcious,10
@karan.sharma.___,10
@karanaujlaedit._,10
@kaushik.jpg,10
@kavansalvi,20
@kedimafia.unltd,10
@ketan_05_,10
@khushalvinjuda_,10
@khushbuc47,20
@krishnaxsaboo,20
@kvacayon,10
@kvl_xxi,10
@loud__n_live,10
@luxe_loaf,10
@maayureshh_,20
@magnesium_2005,10
@mahesh_sharmaprvt,10
@manmojimanav,20
@meghnakapoorrrr,20
@memeofnavimumbai._,20
@mitzz_travellife,20
@moodyframes7,20
@n3animorphic_n3nad,10
@naitik_srivastava_24,10
@neehal_sarvaiya43,10
@neko_chan505,20
@neonraverr,10
@nidhin.snc,10
@niti.gritty,10
@nizfal_iqbal,10
@noorbluez,20
@noprathamno,10
@nqa_dump,10
@official_piyush_mumbai,20
@omeraldehyde,10
@onlyfans_lala_swak,10
@page.dedicated.to.concert,10
@partypandit,20
@pbarchivesss,20
@piiii_y__ushh,10
@poojari_prajna_123,10
@ppconcerts,10
@pradeepkumarprvt,10
@pranay_late_08,20
@prathameya,10
@priti_dubey_1993,10
@pruthvirajdaiya_934,20
@psytric_acid_,20
@ranveer.who,10
@ravadka_nikhil,20
@ravishing6,20
@ria_acharya10,20
@ritik_s_1207,10
@riyaraves_,20
@rohit_maru04,10
@rohitsharmaprvt.___,10
@romaa___69,20
@roshinipushparaj,20
@saaahil.exe,10
@sahilllthisside,10
@sahilparab_,20
@samayahuja25,20
@sanketd17_,10
@sarveshshinde_18,10
@shawshank.wav,10
@shravyalovesf1,20
@siuu_spamz,20
@smit.tavsalkar,10
@soumyadeepsafui,20
@sparsh_sharma011,10
@sruthii45,10
@stories._.with_sid,10
@strikeshott,20
@sukhadaratnaparkhi,10
@sunset_to_sunrise_raver,20
@surykant.__,10
@tanuuuuuu___14,20
@tejadotexe,10
@tha_braveheart14,10
@the_classy_bloke,10
@thebutter.otter,10
@themusicroomm,20
@tvishiedg_03,10
@umang.chheda,20
@vanshsfatass,10
@vibez.joji,10
@vyom_rakhecha,10
@weight_loss_trainer__,10
@whereissoham,10
@whoss.omm,20
@world_through_words,20
@wtfprathammm,10
@yashbajaj_7,20
@yeah_bee_me,10
@yerehan21._,20
@yuvrajrsmishra,20
@zahra_alvani_,20
